owner,tokenAccount,amountRaw,amountUi
8Y7wEBB15f8mpQ7H5Wa1pVdo1TNSg2KE7rLKApHUk5Zd,FvNfaAVLUcDeFQgYUMSmns689KRW5cGUsdjzBjfSDPuf,20785115696148453,20785115.69614845
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,46EsHTDs7way2HBgg39ssoGQ1Px5WxGMA6U52pE4wRK4,18409323994991604,18409323.994991604
2AfbvQCWz2CbuNfBfR4QdVxzjMs1twV8rHJCqME8LtSD,3JZVuep3VKqETaCHFHayjkG3bju7cDKKXzGajENzfzBT,15881732273707901,15881732.2737079
8aKZd1iKTxf3ySFYqkvKSUHAXdrbDF2PF9GcQYifnLiu,ERSFFguD2NebEF9qjnohcq14b1RPJ2NTb857iYWqqp89,6483879882046856,6483879.882046856
6EERDEYK5o6PNPSZvFcPnjfW2ohHLCHoGLggSZvmJq5x,5ynu58Jcy79j8dwvgkpy53bQLRNdMvo1DG1AHWgDJ8xj,5514845000000000,5514845
4eHnizAAYwFKi44yCMnbDH8onoDmGtj2EewdybQKfVuD,J3b3XWdwe3hUASVZ8TX6cW3LYhPNmo8uC6ik5X1jWfGU,4880000000000000,4880000
Dmcf1Eeytn6z4Fi29SUicn8BwXHSkepFgHwtxXTHeXiY,HM6yQLFfNLnHKFi17gbuDQbAEBLokpErW2ZRNPDvY6yR,3433950388650949,3433950.388650949
v5FnhkWzZWyExXo2efQ3ywsfNWVSsTgodrUYa8ZyjWF,3mN4dUwgFtjriskcZFYP6dr4vkwqgcrNuhJS2JdL4vAZ,2422832490052608,2422832.490052608
d5ekffZcKKvu4b9qLLC53qcgDpLtBMUfxeRp55j6cnb,71aGrcPSbZ1gQNge22TaonbUtBfSxkp4frSuWpbnLs3b,1398793428710923,1398793.428710923
3hCAFVgERpezg2viff2DtFvdundfvykUM1VVKqjPehvp,F8z1CsXEL8U4Hi5MGSDS7S1psGcZXFnmTTuQfW9BLB8p,1000000000000000,1000000
ZTrYmzifeBGnXBx9WaPmhWQqWHjpuBZfDV4183GqxtL,HUYRtPGFM5tzwEbxvsoRxBWGJ3yG7fHfjDcS98WhU5ro,1000000000000000,1000000
